root,trajectory_dir,environment,difficulty,trajectory,image_side,pose_side,n_images,n_pose_lines,usable_frames
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P001,japanesealley,Hard,P001,image_left,pose_left.txt,653,653,653
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P002,japanesealley,Hard,P002,image_left,pose_left.txt,391,391,391
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P003,japanesealley,Hard,P003,image_left,pose_left.txt,309,309,309
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P004,japanesealley,Hard,P004,image_left,pose_left.txt,362,362,362
data/tartanair_raw,data/tartanair_raw/japanesealley/Hard/japanesealley/Hard/P005,japanesealley,Hard,P005,image_left,pose_left.txt,593,593,593
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P000,neighborhood,Hard,P000,image_left,pose_left.txt,2316,2316,2316
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P001,neighborhood,Hard,P001,image_left,pose_left.txt,1992,1992,1992
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P002,neighborhood,Hard,P002,image_left,pose_left.txt,1065,1065,1065
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P003,neighborhood,Hard,P003,image_left,pose_left.txt,587,587,587
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P004,neighborhood,Hard,P004,image_left,pose_left.txt,1277,1277,1277
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P005,neighborhood,Hard,P005,image_left,pose_left.txt,858,858,858
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P006,neighborhood,Hard,P006,image_left,pose_left.txt,578,578,578
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P007,neighborhood,Hard,P007,image_left,pose_left.txt,533,533,533
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P008,neighborhood,Hard,P008,image_left,pose_left.txt,1134,1134,1134
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P009,neighborhood,Hard,P009,image_left,pose_left.txt,301,301,301
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P010,neighborhood,Hard,P010,image_left,pose_left.txt,1548,1548,1548
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P011,neighborhood,Hard,P011,image_left,pose_left.txt,984,984,984
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P012,neighborhood,Hard,P012,image_left,pose_left.txt,1216,1216,1216
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P013,neighborhood,Hard,P013,image_left,pose_left.txt,497,497,497
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P014,neighborhood,Hard,P014,image_left,pose_left.txt,554,554,554
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P015,neighborhood,Hard,P015,image_left,pose_left.txt,615,615,615
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P016,neighborhood,Hard,P016,image_left,pose_left.txt,1029,1029,1029
data/tartanair_raw,data/tartanair_raw/neighborhood/Hard/neighborhood/Hard/P017,neighborhood,Hard,P017,image_left,pose_left.txt,880,880,880
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P000,office,Hard,P000,image_left,pose_left.txt,767,767,767
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P001,office,Hard,P001,image_left,pose_left.txt,652,652,652
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P002,office,Hard,P002,image_left,pose_left.txt,993,993,993
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P003,office,Hard,P003,image_left,pose_left.txt,300,300,300
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P004,office,Hard,P004,image_left,pose_left.txt,682,682,682
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P005,office,Hard,P005,image_left,pose_left.txt,896,896,896
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P006,office,Hard,P006,image_left,pose_left.txt,496,496,496
data/tartanair_raw,data/tartanair_raw/office/Hard/office/Hard/P007,office,Hard,P007,image_left,pose_left.txt,884,884,884
data/tartanair_raw,data/tartanair_raw/seasidetown/Hard/seasidetown/Hard/P000,seasidetown,Hard,P000,image_left,pose_left.txt,314,314,314
data/tartanair_raw,data/tartanair_raw/seasidetown/Hard/seasidetown/Hard/P001,seasidetown,Hard,P001,image_left,pose_left.txt,312,312,312
data/tartanair_raw,data/tartanair_raw/seasidetown/Hard/seasidetown/Hard/P002,seasidetown,Hard,P002,image_left,pose_left.txt,893,893,893
data/tartanair_raw,data/tartanair_raw/seasidetown/Hard/seasidetown/Hard/P003,seasidetown,Hard,P003,image_left,pose_left.txt,367,367,367
data/tartanair_raw,data/tartanair_raw/seasidetown/Hard/seasidetown/Hard/P004,seasidetown,Hard,P004,image_left,pose_left.txt,937,937,937
